"Amstelsluizen|Koninklijk Theater Carré","4"
"Vuurtoren Hoek van 't IJ","4"
"Wijnkopersgildehuis","4"
"Cinema Parisien","4"
"Armeens Apostolische Kerk","4"
"Bredero-monument","4"
"Schreierstoren|Sint Nicolaaskerk","4"
"Kasteel van Aemstel","4"
"Engelse Hervormde Kerk","4"
"Nederlands Hervormde Kerk","4"
"Pakhuis Wilhelmina","4"
"Brug 252","4"
"straatmeubilair","4"
"Rozenhofje","4"
"Stationspostkantoor ","4"
"Theater Carré","4"
"Tingel Tangel Theater","4"
"'s Lands Zeemagazijn|Scheepvaartmuseum","4"
"Melkmeisjesbrug","4"
"Eerste Openluchtschool voor het gezonde kind","4"
"Het Glazen Huis","4"
"Brug 68","4"
"Nieuwe Walenkerk","4"
"Brug 67","4"
"Oudhoornse Kerk","4"
"De Keizerskroon","3"
"Gemaal Akersluis","3"
"Eerste Openbare Handelsschool","3"
"vogeldorp","3"
"Huize Van Loon","3"
"Vondelpark","3"
"Oostergasfabriek","3"
"Lizzy Cottage","3"
"Joods Historisch Museum","3"
"Brandweerkazerne Hendrik","3"
"De Wolkenkrabber","3"
"Lijnbaansbrug","3"
"Van Dongeschool","3"
"Museum Het Schip","3"
"Korenbeurs","3"
"'t Witte Huys","3"
"De Bijenkorf|Beurs van Berlage","3"
"R.K. Armenkantoor","3"
"Synagoge Uilenburg","3"
"Pakhuis de twee Stokvissen","3"
"muziekkoepel","3"
"r.k. kerk de Zaaier","3"
"Blauwe Theehuis","3"
"groenlandse pakhuizen","3"
"Cabotschool","3"
"Emmamonument","3"
"Oranje Nassau Kazerne","3"
"Haarlemmerpoort|Willemspoort","3"
"Rijksmuseum|Concertgebouw","3"
"R.K. Sint Agneskerk","3"
"Carlton Hotel","3"
"Blauwbrug|Stadhuis-Muziektheater","3"
"museum Willet Holthuysen","3"
"Hogesluis|Amstel Hotel","3"
"Broenshofje","3"
"Portugees-Israëlitische Seminarie","3"
"Hotel De L'Europe","3"
"Brug 223","3"
"R.K. kerk Sint Pancratius","3"
"Stoomgemaal Willemspark","3"
"Koninklijke Hollandsche Lloyd","3"
"Brug 63","3"
"World Trade Center","3"
"Gemeentearchief Amsterdam|Asscher, Diamantslijperij","3"
"Koopermolen","3"
"school","3"
"Minangkabause Huis","3"
"Oranje-Nassaukazerne","3"
"Noordergasfabriek","3"
"Gebouw Hermes","3"
"Raepenhofje","3"
"Nieuwe Werkhuis|Dr. Sarphatihuis","3"
"Lindenhofje","3"
"Scheierstoren","3"
"dierentuin artis","3"
"Natura Artis Magistra","3"
"Augustinuskerk","3"
"Vierde Ambachtsschool","3"
"Hirschgebouw","3"
"Villa Oud Leyerhoven","3"
"Scheepswerf ‘t Kromhout","3"
"Raw Aron Schuster Sjoel","3"
"reliëf","3"
"De Balie","3"
"grafsteen","3"
"grafmonument","3"
"Centraal Station|Sint Nicolaaskerk","3"
"Anslohofje","3"
"Waag (Nieuwmarkt)|Zuiderkerk","3"
"Van Brants-Rushofje","3"
"Multatuli museum","3"
"Sint Willibrorduskerk","3"
"Amstelsluizen","3"
"In 't Aepjen","3"
"Brug 283","3"
"Sint Rosa klooster","3"
"Sint Rosaklooster","3"
"Brug 43","3"
"Mariniersbrug","3"
"Brug 32","3"
"Herberg Zeeburg","3"
"Het Gouden Hoofd","3"
"Dubbelpakhuis Schottenburch","3"
"Huis ""De Dolphijn""","3"
"Sint Pancratiuskerk","3"
"Hugo de Vrieslaboratorium","3"
"Claes Reiniersz. Hofje","3"
"De Oude Werf","3"
"R.K. Sint Pancratiuskerk","3"
"Karthuizershof","3"
"Brug 419|Hildo Kropbrug","3"
"Fontaine Hofje","3"
"Brug 110","3"
"Scheepvaartmuseum|'s Lands Zeemagazijn","3"
"Claes Claeszhofje","2"
"Cinema Hollandia","2"
"Huize Weeresteyn","2"
"Gesticht de Eendracht","2"
"Toneelmuseum","2"
"De Bijenkorf|Beurs van Zocher|Paleis op de Dam","2"
"Zorgvlied","2"
"gebouw Industria","2"
"nederlandse bank","2"
"Leliesluis","2"
"Rode Hoed","2"
"Rijksmagazijn voor geneesmiddelen","2"
"Paviljoen Het Tolhuis","2"
"De Bijenkorf|Beurs van Zocher|Koopmansbeurs","2"
"Ons’ Lieve Heer op Solder","2"
"Villa Reens","2"
"Werkspoor","2"
"Zwaardvegershofje","2"
"Sint Pietershal","2"
"Sint Bernardusgesticht","2"
"Bullebak","2"
"Sint Elisabethgesticht","2"
"Sloterkerk","2"
"Eben Haëzer","2"
"Gebouw De Koophandel","2"
"Maria Magdalenakerk","2"
"vleeshal","2"
"d'Leeuwenburgh","2"
"'t Blauwe Theehuis","2"
"Blauwbrug|Mozes en Aäronkerk","2"
"Burcht van Berlage","2"
"eerste openluchtschool","2"
"de galerij","2"
"universiteitsbibliotheek|Handboogdoelen","2"
"betondorp","2"
"Beurs van Berlage|Effectenbeurs","2"
"Jacob Obrechtkerk","2"
"korbeel","2"
"bibliotheek Artis","2"
"Palmgrachtschool","2"
"Rotterdamsche Bank","2"
"Walenweeshuis","2"
"Muiderkerk|","2"
"Hervormde kerk Holysloot","2"
"Brug 410|Amsterdams Lyceum","2"
"Engelse kerk|Begijnhof","2"
"Mirakelkolom","2"
"Riekermolen","2"
"Sleutelbrug","2"
"Vergulde Eenhoorn","2"
"Rijksacademie voor Beeldende Kunsten","2"
"Scheepvaarthuis|Scheepvaartmuseum","2"
"Stadsturfpakhuizen","2"
"De Waterhond","2"
"Kweekschool voor Vroedvrouwen","2"
"verzorgingstehuis de RietVinck","2"
"Pakhuis De Kruiwagen","2"
"Pestalozzischool","2"
"Brinkhuis","2"
"Femina Muller Kleine-Kinderen Bewaarplaats","2"
"Gebouw Handelsinlichtingen","2"
"Cavalleriekazerne","2"
"Arsenaal","2"
"Rijkskledingmagazijn","2"
"Nieuwe Kerk|Oude Kerk","2"
"Paedologisch instituut","2"
"Raepenhofje|Bosschehofje","2"
"Raw Aron Schuster-Synagoge","2"
"Westerkerk|Nieuwe Kerk|Paleis op de Dam","2"
"De Posthoorn (R.K. Kerk)|Posthoornkerk|Havengebouw","2"
"Stoofbrug","2"
"Cineac","2"
"Pakhuis Mercurius","2"
"Vierwindstrekenbrug","2"
"Noordschebrug","2"
"Antonie van Leeuwenhoekhuis","2"
"Oude Kerk|Schreierstoren","2"
"Coymanshuis","2"
"Luthers verpleegtehuis","2"
"Zwembad Zuiderbad","2"
"Artis Bibilotheek","2"
"Beurs van Zocher","2"
"Diamantslijperij Asscher","2"
"Villa Quisisana","2"
"Gebouw New York","2"
"gebouw handelsvereniging Amsterdam","2"
"Effectenbeurs|Oude Kerk","2"
"Brandweerkazerne Bernard","2"
"Hodshon-Dedelhofje","2"
"Mozes en Aäronkerk|Blauwbrug|Stadhuis-Muziektheater","2"
"Hoge Sluis","2"
"Moens hofje","2"
"de Utrecht","2"
"het huis met de kabouters","2"
"Nijlpaardenbrug","2"
"Nieuwe Entrepotdok","2"
"Niek Engelschmanbrug: brug 106","2"
"|Trippenhuis","2"
"De Dageraad","2"
"amsterdamse school","2"
"Pier 10","2"
"oranje nassaukazerne|Oranje Nassaukazerne","2"
"Cinétol","2"
"Neptunus","2"
"Waag","2"
"Hogere Zeevaartschool","2"
"Sociëteit Arti et Amicitiae","2"
"Zeemanlaboratorium","2"
"Hofje De Zeven Keurvorsten","2"
"Claes Claesz hofje","2"
"Bijbelsmuseum","2"
"Vader en Zoon","2"
"Hillehuis","2"
"Justitie-gebouwen","2"
"Westerkerkstoren","2"
"Drieharingenbrug","2"
"Emma Kinderziekenhuis","2"
"Kweekschool voor de Zeevaart","2"
"Ceintuurtheater","2"
"Lutherhof","2"
"Vrijmetselaarsloge","2"
"Magere Brug|Amstelsluizen","2"
"Theater De Balie","2"
"Museum Overholland","2"
"pakhuis Houtman","2"
"Gemeentelijk Badhuis","2"
"Koninklijk Theater Carré|Amstelsluizen","2"
"Apollo House","2"
"Haarlemmerbrug","2"
"vuurtoren","2"
"Beurs van Berlage|Nationaal Monument","2"
"Amsterdamsch Tehuis voor Arbeiders","2"
"Hamer- en Bouwershof","2"
"Vondelkerk|Hollandsche Manege","2"
"Kattenkabinet","2"
"Geelvinck-Hinlopen Huis","2"
"Haarlemmersluis","2"
"Weesperpoortstation","2"
"Onze Lieve Vrouwe Kerk|Westerkerk","2"
"Ezelsbrug","2"
"Magna Plaza","2"
"Burgemeester Tellegenhuis|Maupoleum","2"
"Vier Heemskinderen","2"
"Openbare Leeszaal","2"
"Multatuli Huis","2"
